Province,District,local_taxes,fees_charges,licences,levies,permits,com_ventures,total_OSR,Year,canonical_Province,canonical_District,matched_score_Province,matched_score_District,join_key,match_status,reconciliation_notes
Southern,Zimba,65757.0,1196523.0,19022.0,595369.0,149173.0,2168.0,2028012.0,2022,Southern,Zimba,Southern,Zimba,2022::southern::zimba,matched,
Western,Kalabo,3914.0,245879.0,14841.0,170181.0,65666.0,545331.0,1045812.0,2022,Western,Kalabo,Western,Kalabo,2022::western::kalabo,matched,
Western,Kaoma,51948.0,1683066.0,147000.0,1206218.0,167750.0,0.0,3255982.0,2022,Western,Kaoma,Western,Kaoma,2022::western::kaoma,matched,
Western,Limulunga,16394.0,168986.0,19890.0,313685.0,23740.0,1790.0,544485.0,2022,Western,Limulunga,Western,Limulunga,2022::western::limulunga,matched,
Western,Luampa,11893.0,270369.0,60056.0,226602.0,4913.0,0.0,573833.0,2022,Western,Luampa,Western,Luampa,2022::western::luampa,matched,
Western,Lukulu,14813.0,678251.0,7846.0,544680.0,10100.0,0.0,1255690.0,2022,Western,Lukulu,Western,Lukulu,2022::western::lukulu,matched,
Western,Mitete,5850.0,185620.0,1610.0,8419.0,550.0,281110.0,483159.0,2022,Western,Mitete,Western,Mitete,2022::western::mitete,matched,
Western,Mongu Municipal Council,1428436.0,4150491.0,1404665.0,533244.0,1257141.0,55093.0,8829070.0,2022,Western,Mongu,Western,Mongu,2022::western::mongu,matched,council suffix removed: Mongu Municipal Council -> Mongu
Western,Mulobezi,14114.0,526913.0,16235.0,89941.0,37482.0,11786.0,696471.0,2022,Western,Mulobezi,Western,Mulobezi,2022::western::mulobezi,matched,
Western,Mwandi,8583.0,255604.0,11160.0,236521.0,22220.0,0.0,534088.0,2022,Western,Mwandi,Western,Mwandi,2022::western::mwandi,matched,
Western,Nalolo,150870.0,133699.0,1250.0,29142.0,100.0,0.0,315061.0,2022,Western,Nalolo,Western,Nalolo,2022::western::nalolo,matched,
Western,Nkeyema,19390.0,263013.0,6300.0,1137093.0,24650.0,0.0,1450446.0,2022,Western,Nkeyema,Western,Nkeyema,2022::western::nkeyema,matched,
Western,Senanga,113191.0,969184.0,348000.0,80161.0,199825.0,65962.0,1776323.0,2022,Western,Senanga,Western,Senanga,2022::western::senanga,matched,
Western,Sesheke,103827.0,3049333.0,131725.0,857493.0,144580.0,-22131.0,4264827.0,2022,Western,Sesheke,Western,Sesheke,2022::western::sesheke,matched,
Western,Shangombo,12156.0,633364.0,12790.0,358276.0,7019.0,0.0,1023605.0,2022,Western,Shangombo,Western,Shangombo,2022::western::shangombo,matched,
Western,Sikongo,7118.0,514292.0,2490.0,63600.0,550.0,100549.0,688599.0,2022,Western,Sikongo,Western,Sikongo,2022::western::sikongo,matched,
