osr_Province,osr_District,canonical_Province,canonical_District,matched_score_Province,matched_score_District,match_status,osr_years,osr_rows,reconciliation_notes
Southern,Chirundu,Lusaka,Chirundu,Lusaka,Chirundu,matched,2021;2022;2023;2024,4,OSR province differs from score/admin geography: Southern -> Lusaka
Lusaka,Chongwe,Lusaka,Chongwe,Lusaka,Chongwe,matched,2024,1,
Lusaka,Chongwe Municipal Council,Lusaka,Chongwe,Lusaka,Chongwe,matched,2021;2022;2023,3,council suffix removed: Chongwe Municipal Council -> Chongwe
Lusaka,Kafue,Lusaka,Kafue,Lusaka,Kafue,matched,2021;2022;2023;2024,4,
Lusaka,Luangwa,Lusaka,Luangwa,Lusaka,Luangwa,matched,2021;2022;2023;2024,4,
Lusaka,Lusaka City Council,Lusaka,Lusaka,Lusaka,Lusaka,matched,2021;2022;2023;2024,4,council suffix removed: Lusaka City Council -> Lusaka
Lusaka,Rufunsa,Lusaka,Rufunsa,Lusaka,Rufunsa,matched,2021;2022;2023;2024,4,
Eastern,Chama,Muchinga,Chama,Muchiga,Chama,matched,2021;2022;2023;2024,4,OSR province differs from score/admin geography: Eastern -> Muchinga; score province normalized: Muchiga -> Muchinga
Muchinga,Chinsali Municipal Council,Muchinga,Chinsali,Muchiga,Chinsali,matched,2021;2022;2023;2024,4,council suffix removed: Chinsali Municipal Council -> Chinsali; score province normalized: Muchiga -> Muchinga
Muchinga,Isoka,Muchinga,Isoka,Muchiga,Isoka,matched,2021;2022;2023;2024,4,score province normalized: Muchiga -> Muchinga
Muchinga,Kanchibiya,Muchinga,Kanchibiya,Muchiga,Kanchibiya,matched,2021;2022;2023;2024,4,score province normalized: Muchiga -> Muchinga
Muchinga,Lavushimanda,Muchinga,Lavushimanda,Muchiga,Lavushimanda,matched,2021;2022;2023;2024,4,score province normalized: Muchiga -> Muchinga
Muchinga,Mafinga,Muchinga,Mafinga,Muchiga,Mafinga,matched,2021;2022;2023;2024,4,score province normalized: Muchiga -> Muchinga
Muchinga,Mpika,Muchinga,Mpika,Muchiga,Mpika,matched,2021;2022;2023;2024,4,score province normalized: Muchiga -> Muchinga
Muchinga,Nakonde,Muchinga,Nakonde,Muchiga,Nakonde,matched,2021;2022;2023;2024,4,score province normalized: Muchiga -> Muchinga
Muchinga,Shiwang'andu,Muchinga,Shiwang'andu,Muchiga,Shiwang'Andu,matched,2021;2022;2023;2024,4,score province normalized: Muchiga -> Muchinga; score district normalized: Shiwang'Andu -> Shiwang'andu
North Western,Chavuma,North-Western,Chavuma,North-Western,Chavuma,matched,2021;2022;2023;2024,4,province normalized: North Western -> North-Western
North Western,Ikelenge,North-Western,Ikelenge,North-Western,Ikelenge,matched,2021;2022;2023;2024,4,province normalized: North Western -> North-Western
North Western,Kabompo,North-Western,Kabompo,North-Western,Kabompo,matched,2021;2022;2023;2024,4,province normalized: North Western -> North-Western
North Western,Kalumbila,North-Western,Kalumbila,North-Western,Kalumbila,matched,2021;2022;2023;2024,4,province normalized: North Western -> North-Western
North Western,Kasempa,North-Western,Kasempa,North-Western,Kasempa,matched,2021;2022;2023;2024,4,province normalized: North Western -> North-Western
North Western,Manyinga,North-Western,Manyinga,North-Western,Manyinga,matched,2021;2022;2023;2024,4,province normalized: North Western -> North-Western
North Western,Mufumbwe,North-Western,Mufumbwe,North-Western,Mufumbwe,matched,2021;2022;2023;2024,4,province normalized: North Western -> North-Western
North Western,Mushindamo,North-Western,Mushindano,North-Western,Mushindano,matched,2021;2022;2023;2024,4,province normalized: North Western -> North-Western; district spelling normalized: Mushindamo -> Mushindano
North Western,Mwinilunga,North-Western,Mwinilunga,North-Western,Mwinilunga,matched,2021;2022;2023;2024,4,province normalized: North Western -> North-Western
North Western,Solwezi Municipal Council,North-Western,Solwezi,North-Western,Solwezi,matched,2021;2022;2023;2024,4,province normalized: North Western -> North-Western; council suffix removed: Solwezi Municipal Council -> Solwezi
North Western,Zambezi,North-Western,Zambezi,North-Western,Zambezi,matched,2021;2022;2023;2024,4,province normalized: North Western -> North-Western
Northern,Chilubi,Northern,Chilubi,Northern,Chilubi,matched,2024,1,
Northern ,Chilubi,Northern,Chilubi,Northern,Chilubi,matched,2021;2022;2023,3,
Northern,Kaputa,Northern,Kaputa,Northern,Kaputa,matched,2024,1,
Northern ,Kaputa,Northern,Kaputa,Northern,Kaputa,matched,2021;2022;2023,3,
Northern,Kasama Municipal Council,Northern,Kasama,Northern,Kasama,matched,2021;2022;2023;2024,4,council suffix removed: Kasama Municipal Council -> Kasama
Northern,Lunte,Northern,Lunte,Northern,Lunte,matched,2024,1,
Northern ,Lunte,Northern,Lunte,Northern,Lunte,matched,2021;2022;2023,3,
Northern,Lupososhi,Northern,Lupososhi,Northern,Lupososhi,matched,2024,1,
Northern ,Lupososhi,Northern,Lupososhi,Northern,Lupososhi,matched,2021;2022;2023,3,
Northern,Luwingu,Northern,Luwingu,Northern,Luwingu,matched,2024,1,
Northern ,Luwingu,Northern,Luwingu,Northern,Luwingu,matched,2021;2022;2023,3,
Northern,Mbala Municipal Council,Northern,Mbala,Northern,Mbala,matched,2021;2022;2023;2024,4,council suffix removed: Mbala Municipal Council -> Mbala
Northern,Mporokoso,Northern,Mporokoso,Northern,Mporokoso,matched,2024,1,
Northern ,Mporokoso,Northern,Mporokoso,Northern,Mporokoso,matched,2021;2022;2023,3,
Northern,Mpulungu,Northern,Mpulungu,Northern,Mpulungu,matched,2024,1,
Northern ,Mpulungu,Northern,Mpulungu,Northern,Mpulungu,matched,2021;2022;2023,3,
Northern,Mungwi,Northern,Mungwi,Northern,Mungwi,matched,2024,1,
Northern ,Mungwi,Northern,Mungwi,Northern,Mungwi,matched,2021;2022;2023,3,
Northern,Nsama,Northern,Nsama,Northern,Nsama,matched,2024,1,
Northern ,Nsama,Northern,Nsama,Northern,Nsama,matched,2021;2022;2023,3,
Northern,Senga Hill,Northern,Senga Hill,Northern,Senga Hill,matched,2024,1,
Northern ,Senga Hill,Northern,Senga Hill,Northern,Senga Hill,matched,2021;2022;2023,3,
Southern,Chikankata,Southern,Chikankanta,Southern,Chikankanta,matched,2021;2022;2023;2024,4,district spelling normalized: Chikankata -> Chikankanta
Southern,Choma Municipal Council,Southern,Choma,Southern,Choma,matched,2021;2022;2023;2024,4,council suffix removed: Choma Municipal Council -> Choma
Southern,Gwembe,Southern,Gwembe,Southern,Gwembe,matched,2021;2022;2023;2024,4,
Southern,Kalomo,Southern,Kalomo,Southern,Kalomo,matched,2021;2022;2023;2024,4,
Southern,Kazungula,Southern,Kazungula,Southern,Kazungula,matched,2021;2022;2023;2024,4,
Southern,Livingstone City Council,Southern,Livingstone,Southern,Livingstone,matched,2021;2022;2023;2024,4,council suffix removed: Livingstone City Council -> Livingstone
Southern,Mazabuka Municipal Council,Southern,Mazabuka,Southern,Mazabuka,matched,2021;2022;2023;2024,4,council suffix removed: Mazabuka Municipal Council -> Mazabuka
Southern,Monze,Southern,Monze,Southern,Monze,matched,2021;2022;2023;2024,4,
Southern,Namwala,Southern,Namwala,Southern,Namwala,matched,2021;2022;2023;2024,4,
Southern,Pemba,Southern,Pemba,Southern,Pemba,matched,2021;2022;2023;2024,4,
Southern,Siavonga,Southern,Siavonga,Southern,Siavonga,matched,2021;2022;2023;2024,4,
Southern,Sinazongwe,Southern,Sinazongwe,Southern,Sinazongwe,matched,2021;2022;2023;2024,4,
Southern,Zimba,Southern,Zimba,Southern,Zimba,matched,2021;2022;2023;2024,4,
Western,Kalabo,Western,Kalabo,Western,Kalabo,matched,2021;2022;2023;2024,4,
Western,Kaoma,Western,Kaoma,Western,Kaoma,matched,2021;2022;2023;2024,4,
Western,Limulunga,Western,Limulunga,Western,Limulunga,matched,2021;2022;2023;2024,4,
Western,Luampa,Western,Luampa,Western,Luampa,matched,2021;2022;2023;2024,4,
Western,Lukulu,Western,Lukulu,Western,Lukulu,matched,2021;2022;2023;2024,4,
Western,Mitete,Western,Mitete,Western,Mitete,matched,2021;2022;2023;2024,4,
Western,Mongu Municipal Council,Western,Mongu,Western,Mongu,matched,2021;2022;2023;2024,4,council suffix removed: Mongu Municipal Council -> Mongu
Western,Mulobezi,Western,Mulobezi,Western,Mulobezi,matched,2021;2022;2023;2024,4,
Western,Mwandi,Western,Mwandi,Western,Mwandi,matched,2021;2022;2023;2024,4,
Western,Nalolo,Western,Nalolo,Western,Nalolo,matched,2021;2022;2023;2024,4,
Western,Nkeyema,Western,Nkeyema,Western,Nkeyema,matched,2021;2022;2023;2024,4,
Western,Senanga,Western,Senanga,Western,Senanga,matched,2021;2022;2023;2024,4,
Western,Sesheke,Western,Sesheke,Western,Sesheke,matched,2021;2022;2023;2024,4,
Western,Shang'ombo,Western,Shangombo,Western,Shangombo,matched,2024,1,district spelling normalized: Shang'ombo -> Shangombo
Western,Shangombo,Western,Shangombo,Western,Shangombo,matched,2021;2022;2023,3,
Western,Sikongo,Western,Sikongo,Western,Sikongo,matched,2021;2022;2023;2024,4,
Western,Sioma,Western,Sioma,Western,Sioma,matched,2021;2022;2023;2024,4,
